一	百
开水	冷水 生水
开源节流	铺张浪费
开眉大眼	愁眉不展
开眉展眼	愁眉不展
开端	终端 结尾 末端 终局 末尾
开诚布公	披肝沥胆
开诚相见	尔虞我诈
开通	迂腐 守旧 古板 顽固 开明 固执
开释	监禁 拘捕
开门见山	转弯抹角
开门见山	转弯抹角 旁敲侧击 支吾其词 隐晦曲折 含糊其辞 拐弯抹角 闪烁其辞 烘云托月 吞吞吐吐 指桑骂槐 藏头露尾 皮里阳秋
开阔	狭小 狭隘 狭窄 窄小
开高走低	开低走高
开高走高	开低走低
异	同
异乎寻常	平淡无奇
异乡	故乡 故土 同乡 家乡
异乡人	本地人
异体字	正体
异口同声	众说纷纭
异口同声	言人人殊 众说纷纭 各执己见 聚讼纷纭 聚讼不已 各抒己见 大相径庭 议论纷纷 智者见智 众口纷纭 莫衷一是
异口同辞	纷纷不一
异国他乡	本乡本土
异域殊方	本乡本土
异士奇人	凡夫俗子
异常	平常
异常	平常 正常 寻常 按例
异族	同宗 同胞 同族 本族
异样	正常 寻常 同样 相同
异梦离心	情投意合
异花传粉	自花传粉
异途同归	背道而驰
弃	拾
弃信忘义	抱诚守真
弃如弁髦	爱不忍释
弃如敝屣	爱不忍释
弃恶从德	不能自拔
弃旧图新	古恶不悛
弃旧开新	安常袭故
弃旧怜新	忠贞不二
弃旧谋新	不能自拔
弃明投暗	弃暗投明
弃械投降	负隅顽抗
弃武竞文	投笔从戎
弃甲丢盔	所向披靡
弃甲倒戈	百战百胜
弃甲曳兵	垂头丧气
弃若敝屣	如饥似渴
弃过图新	不能自拔
弃邪从正	不能自拔
弃邪归正	不能自拔
弄假成真	画蛇添足
弄巧反拙	大巧若拙
弄巧成拙	弄假成真
弄斧班门	程门立雪
弄璋之喜	弄瓦之喜
弄瓦之喜	弄璋之喜
弄虚作假	光明正大 文字求真 实事求是 光明磊落 平心而论 脚踏实地
弄虚作假	实事求是
弊	利
弊端	优点 益处 好处 亮点
弊绝风清	乌烟瘴气
引	排
引人注目	置之不理 听而不闻 默默无闻 视而不见 隐姓埋名
引人注目	隐姓埋名
引以为荣	羞与为伍
引入歧途	循循善诱
引吭高歌	浅酌低吟
引吭高歌	默不做声 浅酌低吟
引咎自责	作法自毙
引经据典	不见经传
引而不发	盘马弯弓
弛	张
弟子	师父 师傅
张	合 弛 驰
张	弛
张冠李戴	无可非议
张口结?	默不作声
张口结舌	振振有辞
张吻如盆	樱桃小口
张开	紧闭 合拢 并拢 闭合 合上 收拢
张灯结彩	披麻戴孝
张牙舞爪	和蔼可亲 和颜悦色 喜眉笑眼
张皇失措	成竹在胸
弥天大罪	盖世功勋
弥天大谎	肺腑之谈
弥山布野	九牛一毫
弥山遍野	九牛一毫
弭口不言	辩才无碍
弭口无言	辩才无碍
弯	直
弯	直字 直
弯弯曲曲	端端正正 正正直直 笔走龙蛇 笔笔直直
弯曲	伸直 垂直 笔直 挺立 挺直 挺拔
弱	强
弱不禁风	心宽体胖 彪形大汉 身强力壮 虎背熊腰 拔山举鼎 孔武有力
弱不禁风	身强力壮
弱不胜衣	拔山举鼎
弱冠之年	迟暮之年
弱如扶病	拔海荡山
弱小	强大 剽悍 壮观 魁梧 强盛 强壮 壮大
弱点	优点 强项 亮点 优势
弱肉强食	共存共荣
弱肉强食	和平共处 共存共荣
弹冠相庆	如丧考妣
弹劾	赞扬 嘉奖
弹压	助威 安抚 招抚
弹尽援绝	兵精粮足
弹尽粮绝	源源不断
弹无虚发	无的放矢 百无一存
强	弱
强不知以为知	知之为知之，不知为不知
强人所难	挺身而出
强健	孱弱 瘦弱 衰老 虚弱
强制	自发 自愿
强加罪名	冠以美名
强劲	微弱 无力
强化	弱化 削弱
强壮	孱弱 纤弱 衰老 单薄 软弱 柔弱 羸弱 衰弱 弱小 瘦弱 虚弱
强大	微弱 娇小 弱小 虚弱
强大	衰败
强头倔脑	唯唯诺诺
强奸民意	顺天应人
强宗右姓	布衣索族
强弩之末	势如破竹
强弱悬殊	寡不敌众
强悍	纤弱 文弱
强烈	平稳 平静 微弱 冷静 柔柔 平缓 轻微 柔和 平和 温和 平淡
强盛	衰落 弱小 衰败 衰弱
强盛	衰败
强硬	柔和 软化 软弱 和缓
强记	健忘 难忘
强词夺理	义正辞严 言之成理 理直气壮 张口结舌 义正词严 通情达理 理屈词穷 不言而喻 入情入理 据理力争
强词夺理	据理力争
强迫	自动 被迫 自愿
强颜欢笑	忍俊不禁
归	去
归去来兮	四海为家
归去来兮	四海为家 浪迹天涯
归国	出国 放洋
归宿	停留 出发
归并	独立 分开
归心似箭	乐不思蜀
归心似箭	浪迹天涯 乐不思蜀
归还	出借 借用 告借 借出
归道山	出生
归马放牛	擐甲持戈
当	赎
当世俊彦	不舞之鹤
当世无双	无独有偶
当中间儿	四周围
当之无愧	名不副实 徒有虚名 虚有其表 当之有愧
当之无愧	当之有愧
当之有愧	当之无愧
当事人	局外人
当事者迷	旁观者清
当仁不让	敬谢不敏
当仁不让	隔岸观火 隔山观虎斗 推三阻四 敬敏不谢 斗 敬谢不敏 临阵脱逃
当今	畴昔 异日
当初	今日 后来 现在 临了 最后 终末
当前	今后 以前 从来 长远 以后
当务之急	迫在眉睫
当务之急	遥遥无期 不急之务 一拖再拖
当劳之急	不急之务
当家子	外家
当局者迷	旁观者清
当年	今日 陈年
当断不断	举棋不定
当时得令	明日黄花
当机立断	游移不决
当机立断	畏首畏尾 首鼠两端 当断不断 犹豫不决 筑室道谋 游移不决 跋前疐后 狐疑不决 踌躇不前 瞻前顾后 优柔寡断 方寸已乱 迟疑不决 举棋不定 踌躇不决 游移不定
当着面	暗地里
当间儿	两边
当间儿	大失所望
当间儿	笨鸟先飞
录	放
形	神
形单影只	孑然一身
形容枯槁	红光满面
形式	实质 内容
形形色色	千篇一律 如出一辙
形影不离	若即若离
形影相吊	形单影只
形影相吊	济济一堂 前呼后拥 门庭若市 形影不离
形而上学	辩证法
形色仓皇	神态自如
形销骨立	红光满面 脑满肠肥 大腹便便
形销骨立	鸠形鹄面
彤云密布	碧空如洗
彩色	黑色 黑白
彩色片	黑白片
彪形大汉	白面书生
彪炳千古	�赫一时
彪炳史册	不见经传
彬彬君子	井市庸愚
彬彬文质	赤膊上阵
彬彬有礼	出言不逊
彬彬有礼	蛮横无理
彰明较著	语焉不详
影	形
影影绰绰	历历如见
彻夜苦读	秉烛夜游
彻头彻尾	七折八扣 七扣八扣
彻底	表层 肤浅 表面
彼	己 此
彼	此
彼时彼地	此时此地
彼竭我盈	迎风而行
往	复 来 返
往	来
往日	今日 本日 来日 以后 未来
往昔	将来 目前
往来如织	万头攒动
径情直遂	事与愿违
径直	迂回 蜿蜒
待势乘时	刻不容缓
待时而举	刻不容缓
待时而动	迫不及待
待机而动	迫不及待
待理不理	满腔热情
徇情枉法	守正不阿
徇私枉法	法不阿贵 执法不阿 秉公执法 执法无私
徇私枉法	秉公执法
徇私舞弊	大公无私
徇私舞弊	天公地道 奉公守法 营私舞弊 大义灭亲 大公无私成语 无偏无党 公事公办 言出法随 大公无私 铁面无私
很多	很少 没有
後半晌	前半晌
後发制人	先发制人
後患无穷	斩草除根
後段班	前段班
後生可畏	少年老成
後知後觉	先知先觉
後继乏人	後继有人
後继无人	後继乏人
後继有人	後继乏人
徐	疾
徐娘半老	人老珠黄
徒	师
徒劳往返	不虚此行
徒劳无功	水到渠成
徒劳无益	劳苦功高
徒唤奈何	急则生智
徒慕虚名	循名责实
徒手空拳	持枪实弹
徒有四壁	百城南面
徒有虚名	名不虚传
徒负虚名	名不虚传
徒费无益	不劳而得
得	失
得	失 舍
得不偿失	亡羊得牛
得不补失	得失参半
得不酬失	得失参半
得了	失 舍
得其所哉	失魂落魄
得到	失掉 失落 失去 付出
得势	失意 失势
得君行道	怀才不遇
得天独厚	先天不足
得失参半	得不补失
得失相当	事半功倍
得失相当	得不偿失
得寸进尺	适可而止
得心应手	万家亨通
得心应手	碍手碍脚 束手无策 心有余而力不足 力所不及 势成骑虎 事与愿违 力不从心 身不由己 进退两难 无计可施 不知所厝 不文不武 心余力绌 力不胜任 扒拉不开 左右为难 无能为力
得意忘形	垂头丧气
得意忘形	郁郁寡欢 心灰意冷 怅然若失 向隅而泣 心灰意懒
得意忘言	格格不入
得意扬扬	垂头丧气
得意扬扬	怅然若失
得意洋洋	手舞足蹈
得新厌旧	忠贞不二
得新忘旧	忠贞不渝
得未尝有	比比皆是
得未曾有	比比皆是
得而复失	合浦还珠
得胜	失利 失败
得胜回朝	落花流水
得胜班师	抱头鼠窜
得胜的猫儿欢似虎	落地的凤凰不如鸡
得计	失策 失算
得过且过	粗制滥造
得道多助	失道寡助
得陇望蜀	适可而止
得鱼忘筌	饮水思源
循名责实	指鹿为马
循序渐进	拔苗助长
循序渐进	揠苗助长 拔苗助长 一步登天
循循善诱	引入歧途
循环往复	始终如一
循规蹈矩	为所欲为
循规蹈矩	图为不轨 偷香窃玉 惹是生非 离经叛道 横行无忌 没法没天 轻举妄动 不成体统 洛希界面 独出心裁 别开生面 谋图不轨 放浪形骸 谋为不轨 目无王法 放荡不羁 无法无天 大逆不道 四百击 随心所欲 为非作歹 作奸犯科 痴人说梦 恣意妄为 胡作非为 任其自然 偭规越矩 落拓不羁 为所欲为 出没无常 横行不法
循规蹈距	飞扬跋扈
微不足道	硕大无比 变本加厉 硕大无朋 擢发难数 铺天盖地 庞然大物 洋洋大观 举足轻重
微云	浓云
微弱	强大
微笑	与哭泣 哭泣 狂笑 抽噎
微言大义	空洞无物
德	才
德以报怨	恩将仇报
德尊望重	德薄望浅
德才兼备	德薄才疏 德薄能鲜 残渣余孽
德才兼备	残渣余孽
德深望重	德薄望浅
德薄才疏	德才兼备
德薄望浅	齿德俱高
德薄望轻	齿德俱高
德薄能鲜	德高望重
德隆望重	德薄望浅
德高望重	德薄能鲜
心	身
心	边
心不在焉	乐此不疲 心神专注 屏气凝神 全心全意 目不窥园 全神贯注 废寝忘食 敛声屏气 聚精会神 嗜此不疲 专心致志
心不在焉	聚精会神
心中无数	心中有数
心中有愧	问心无愧
心中有数	心中无数
心中有数	心中无数 心中没底 一无所知 似懂非懂 胸中无数
心乱如麻	心安理得
心事重重	无忧无虑
心力交瘁	心广体胖
心口合一	口是心非
心口如一	口是心非
心头火起	心花怒放
心如刀割	心花怒放
心如刀绞	心满意足
心如悬旌	聚�会神
心如止水	心旌摇曳
心如火焚	心旷神怡
心如铁石	喜形于色
心存魏阙	回心转意
心安理得	心中有愧
心宽体肥	身心交病
心宽体胖	弱不禁风
心平气和	暴跳如雷
心广体胖	心力交瘁
心心相印	格格不入 同床异梦 话不投机 貌合神离 貌合心离
心心相印	貌合神离
心怀叵测	胸襟坦荡
心怀坦白	光明磊落
心怀天下	独善其身
心怀舒畅	背若芒刺
心急如焚	少安毋躁
心急如焚	少安毋躁 不慌不忙 从容不迫 不紧不慢 慢慢悠悠 慢条斯理 心平气和
心急火燎	从容不迫
心惊肉跳	心安理得
心惊胆战	坦然自若 悠然自得 泰然自若
心惊胆战	提心吊胆
心慈手软	心狠手辣
心慈面善	灭绝人性
心慈面软	铁石心肠
心慌意乱	心旷神怡
心慌意乱	心旷神怡 满不在乎 从容不迫 泰然自若 处之泰然 心平气和
心旌摇惑	漠然不动
心旌摇曳	心如止水
心无二用	一心二用
心旷神怡	心乱如麻 心慌意急 心烦意乱 心如火焚 心慌意乱 神不守舍
心旷神怡	袒自若
心明眼亮	昏头昏脑
心有余悸	神色不惊 泰然自若
心有余而力不足	行有余力
心有灵犀一点通	格格不入
心服口服	鸣冤叫屈
心满意足	得陇望蜀 贪心不足 大失所望 诛求无厌 得寸进尺 心如刀绞
心满意足	诛求无厌
心灰意冷	万念俱灰
心灰意懒	雄心勃勃
心灵手巧	笨手笨脚
心烦意乱	心安理得 怡然自得 心旷神怡 从容不迫 心广神怡
心烦意乱	忐忑不安
心照不宣	一窍不通 百思不解
心狠手毒	心慈手软
心狠手辣	心慈手软
心猿意马	乐此不疲 一心一意 力排众议 心安神定 专心一志 目不窥园 全神贯注 心如止水 嗜此不疲 专心致志
心猿意马	心不在焉
心甘情愿	死不瞑目
心甘情愿	迫不得已 万不得已 死不瞑目 终天之恨 不由自主 抱恨终天
心痒难熬	无动於衷
心直口快	直言不讳
心神不宁	聚�会神
心神不定	心神恍惚
心神专注	聚精会神
心神恍惚	漫不经心
心神郁结	心绪恶劣
心算	珠算 笔算
心绪恶劣	心神郁结
心胸狭窄	豁达大度
心腹之患	癣疥之疚 癣疥之疾
心腹之患	癣疥之疾
心花怒放	忧心如焚
心血来潮	千方百计 处心积虑
心领神会	通今博古
必不可少	多此一举
必修科	选修科
必恭必敬	盛气凌人
必有一失	愚者千虑，必有一得
必有一得	愚者千虑
必然性	偶然性
必然王国	自由王国
必要劳动	剩余劳动
必需品	奢侈品
忌日	生日 生辰 寿辰
忍俊不禁	泣不成声
忍俊不禁	泣不成声 强颜欢笑
忍恨吞声令	据理力争
忍无可忍	忍气吞声
忍气吞声	不平则鸣 宁可玉碎 无理取闹 忍无可忍 不能瓦全 扬眉吐气 报仇雪恨 据理力争 毫不示弱 报仇雪耻
忍气吞声	扬眉吐气
忍耐	焦急 暴躁
忍耻偷生	成仁取义
忍耻含垢	忍无可忍
忍耻苟活	成仁取义
忍辱偷生	揭竿而起
忍辱含羞	忍无可忍
忍辱苟活	成仁取义
忍辱负重	忍无可忍
忐忑不宁	心安理得
忐忑不安	提心吊胆
志同道合	貌合神离
志同道合	道不同,不相为谋 鸡同鸭讲 狼狈为奸 不相为谋 沆瀣一气 分道扬镳 貌合神离 同床异梦 各奔前程
志士仁人	跳梁小丑
志大才疏	才高意广
志愿兵	义务兵
忘	记
忘乎所以	谦虚谨慎 小心翼翼
忘其所以	谦虚谨慎
忘寝废餐	饱食终日
忘年交	半面之交
忘形之交	半面之交
忘形之契	半面之交
忘怀	想念 牵挂 切记 铭记 怀念 安心 惦记 挂念 思念
忘恩失义	报本反始
忘恩负义	数典忘宗
忘本	念旧 忘旧
忘餐失寝	饱食终日
忘餐废寝	饱食终日
忙	闲
忙乱	悠闲 清闲 安静
忙忙碌碌	安闲自在
忙碌	悠闲 安闲 闲暇 清闲 空闲 休憩 优游 空暇 闲逸
忠	奸
忠厚老实	厚颜无耻
忠君爱国	乱臣贼子
忠实	狡诈 奸诈 背叛 虚伪
忠心	叛逆 背叛
忠心耿耿	见异思迁
忠於所事	尽心竭力
忠臣	奸贼 奸臣
忠诚老实	盗名欺世
忠贞不二	忠贞不渝
忠贞不渝	见异思迁
忤逆子孙	不肖子孙
忧	乐
忧	乐 喜
忧伤	欢乐 快乐 愉快 快活
忧国忧民	祸国殃民
忧心如焚	心花怒放
忧心如焚	欣喜若狂 欢天喜地 乐在其中 喜出望外 喜上眉梢 心花怒放 无忧无虑
忧心忡忡	喜气洋洋
忧心忡忡	洋洋自得 乐在其中 闲情逸致 喜笑颜开 悠然自得 无虑无忧 泰然自若 笑逐颜开 无忧无虑 喜气洋洋 喜形于色
忧愁	开朗 喜悦 高兴 欢快 欢乐 欢畅 爽朗 快活 欣喜 痛快 欢欣 畅快 快乐
忧虑	放心
快	慢
快	慢 钝
快乐	恼恨 悲痛 痛苦 悲戚 悲凉 难过 悲哀 苦恼 悲伤 忧郁 哀痛 凄惨 郁闷 发愁 烦闷 忧愁 伤心 哀伤 忧伤
快事	惨事 惨剧
快人快语	半吞半吐
快刀斩乱麻	带水拖泥
快刀断乱麻	带水拖泥
快动作	慢动作
快意	伤心 憋屈
快捷	迟缓 缓慢
快步如风	步履艰难
快步如飞	步履艰难
快步流星	步履艰难
快车道	慢车道
快马加鞭	老牛破车
念念不忘	置之脑後
念旧	忘本 忘旧
忸忸怩怩	大大方方
忸怩作态	大大方方
忽然	慢慢 渐渐 逐渐 逐步
忽略	注意 留心 重视
忿忿不平	平心定气
怀念	忘怀 忘记 忘却 遗忘
怀恶不悛	懊悔无及
怀才不遇	丹凤朝阳
怀才抱德	才轻德薄
怀有鬼胎	胸无城府
怀柔政策	高压手段
怀璧为罪	得君行道
怀疑	信任 轻信 笃信 肯定 相信 信赖 断定 靠谱 坚信 确信
怀疑	相信
怀罪不悛	懊悔无及
怀金垂紫	抱关击柝
怀金拖紫	抱关击柝
怀黄佩紫	抱关击柝
怀黄拖紫	抱关击柝
怂恿	激励 劝阻 劝止 规谏 忠告
怅然自失	安闲自在
怅然若失	得意忘形
怊然若失	安闲自在
怏怏不乐	得意洋洋
怏怏不乐	得意洋洋 手舞足蹈 洋洋得意
怒	喜
怒不可遏	悲不自胜
怒冲冲	喜孜孜
怒发冲冠	喜不自胜 欣喜若狂 喜形于色
怒容可掬	春风得意
怒容满面	愁眉不展
怒气冲冲	愁眉苦脸
怒气冲霄	喜气洋洋
怒气填胸	喜气洋洋
怒目圆睁	平心静气 心如止水 慈眉善目 眉开眼笑
怒目横眉	蔼然可亲
怒目相加	霁颜相对
怒目而视	眉开眼笑
怒眉苦脸	春风得意
怒臂当车	量力而为
怒臂当辙	量力而为
怕死贪生	出生入死
怕硬欺软	安良除暴
怕羞	大方
怕难为情	老脸皮厚
怙恶不悛	刚愎自用
怙恶不改	懊悔无及
怙罪不悛	懊悔无及
怜恤老弱	惨绝人寰
怜悯	冷漠  漠视 冷酷 残忍 残酷
怜新弃旧	惜玉怜香
怜爱	憎恶 憎恨
怜香惜玉	喜新厌旧
思前想后	不加思索
思前虑后	不加思索
思想	行动 口头 内心 书面 行为
思深远虑	不加思索
思绪万千	茫无头绪
思贤如渴	妒贤害能
怠	勤
怠惰	奋勉 勤劳 勤奋 勤恳 用功 辛勤 勤勉
怠慢	殷懃 周到 敬重 殷勤 谦恭 优待 勤奋 敬佩
怡然自得	局促不安
急	慢 缓
急三火四	慢慢腾腾
急不可待	来日方长 慢条斯理
急不可耐	从容不迫
急中生智	束手无策
急于事功	从长计议
急于星火	不急之务
急于求成	从长计议
急于求成	步步为营 从长计议 从容不迫
急公好义	大公无私
急公近利	高瞻远瞩
急冲冲	慢腾腾
急切	迟缓 缓慢
急则生智	半筹不纳
急则计生	半筹不纳
急功近利	深谋远虑 高瞻远瞩 宁静致远
急功近利	高瞻远瞩
急匆匆	慢腾腾
急如星火	缓兵之计 慢条斯理 从容不迫
急巴巴	慢腾腾
急征重敛	轻徭薄赋
急忙	悠闲 从容 稳重
急忙	镇定
急急忙忙	慢慢悠悠 慢慢腾腾 慢条斯理
急急忙忙	慢慢腾腾
急性	慢性 耐性
急性子	慢性子
急景流年	寸阴若岁
急流勇进	急流勇退 知难而退 破釜沉舟
急流勇进	破釜沉舟
急流勇退	济河焚舟
急起直追	力争上游
急躁	耐心 冷静 稳重 平和 温和 沉着
急转直下	相持不一
急转直下	相持不下 相持不一 扶摇直上 扶摇直下 渐入佳境
急进	保守 稳健 渐进 开明
急迫	从容 舒徐
急速	怠缓 迟缓 急急 缓缓 徐徐 缓慢
急风暴雨	和风细雨
急风骤雨	和风细雨
怨	恩
怨声载道	人心归向 歌功颂德 众口交颂 人心所向 谢天谢地 口碑载道 大快人心 皆大欢喜 有口皆碑 普天同庆
怨声载道	众口交颂
怨天尤人	乐天知命 反躬自问 自艾自怨 反求诸己 任劳任怨 与人无尤 自怨自艾 乐天安命
怨天尤人	反躬自问
怨天忧人	任劳任怨
怨恨	感激 宽恕 恩惠
怯	勇
怯弱	顽强 勇敢
怯懦	坚强 勇敢 鵰悍 大胆 刚毅 勇猛 刚强
怵目惊心	见而色喜
总公司	分公司
总则	大纲 略则
恃功矜能	成功不居
恃势欺人	欺善怕恶
恃强凌弱	安良除暴
恃强施暴	吞声忍让
恃强欺弱	安良除暴
恃才傲物	虚怀若谷
恋恋不舍	一刀两断 扬长而去 乐不思蜀
恋恋难舍	绝裾而去
恋新忘旧	忠贞不二
恋生恶死	出生入死
恍然大悟	百思不解
恍然大悟	百思莫解 如坐云雾 百思不解 迷惑不解 莫名其妙 如醉如痴 冥顽不灵 疑惑不解 如痴如醉 大惑不解 魂牵梦萦 困惑不解 茫然不解
恍然如悟	莫名其妙
恐吓	安慰 安抚
恒	变
恒河沙数	不乏其人
恒河沙数	寥寥无几 沧海一粟 屈指一算 凤毛麟角 情系沧海 九牛一毛 寥若辰星 寥若晨星 屈指可数
恢复	破裂 断绝 接续 丧失
恢宏大度	偏狭小器
恢廓大度	偏狭小器
恣意妄为	谨小慎微
恣睢无忌	安分守常
恣肆无忌	安分守常
恣行无忌	谨小慎微
恨	爱
恨	爱字 爱 有爱
恨之入骨	肃然起敬 一往深情 一见钟情 爱不忍释 一往情深
恨之切骨	视作心肝
恨入心髓	视作心肝
恨相知晚	视如寇仇
恨相见晚	视如寇仇
恩	仇
恩	仇 怨
恩	怨
恩人	友人 仇家 党羽 仇人 亲人 仇敌 朋友
恩同再造	切齿之仇
恩同父母	仇深似海
恩将仇报	感恩图报
恩恩相报	恩将仇报
恩断义绝	难兄难弟
恩断意绝	白发相守
恩深义厚	血债累累
恩绝义断	白发相守
恩赐	索要 乞讨 乞求 索取
恩重如山	深仇大恨
恩重如山	绝情寡义 新仇旧恨 血债累累 深仇大恨 血海深仇
恪守不渝	背信弃义
恬不为耻	惭愧无地
恬静	喧器 恬噪 喧嚣 喧闹 吵闹 聒噪
恭恭敬敬	不可一世 骄傲自大
恭敬	简慢 无礼 轻侮 傲慢 轻慢
恭谨谦和	骄矜狂妄
息	作
息事宁人	播弄是非
息兵罢战	擐甲持戈
息影园林	东山再起
息息相关	各不相关 漠不关心 痛痒不闻 不关痛痒 风马牛不相及 无关痛痒 漠不相关 痛痒无关 事不关己 毫不相关 水火不容
息息相关	漠不关心
恰到好处	过犹不及 大相径庭 画蛇添足 纠枉过正 矫枉过正
恰如其分	实事求是
恶	善 好 爱 美
恶事传千里	好事不出门
恶事行千里	好事不出门
恶人	吉人 好人 善人
恶劣	优秀 良好 优良
恶劣	良好
恶化	好转 改善
恶名	嘉名 美名
恶声恶气	好声好气
恶意	好意 好心 美意 善意
恶有恶报	善有善报
恶毒	温柔 善良
恶浊	清爽 清新
恶眉恶眼	蔼然可亲
恶衣粗食	丰衣美食
恶衣粝食	丰衣美食
恶衣菲食	丰衣美食
恶衣蔬食	丰衣美食
恶衣薄食	丰衣美食
恶言伤人	彬彬有礼
恶言恶语	好言好语
恶言泼语	肺腑之谈
恶语中伤	甜言蜜语
恶语相加	彬彬有礼
恶运当头	红鸾照命
恻隐	冷淡 冷酷 残念
恻隐之心	落井下石 铁石心肠
恼	喜
恼怒	高兴 忍受 嬉笑
恼恨	高兴 兴奋 开心 快乐
悄无声息	响遏行云 人喧马嘶 人声鼎沸
悄然无声	人喧马啸 人声鼎沸 如火如荼
悉听尊便	强人所难
悉心	应付 敷衍 马虎
悉心戮力	草草从事草草了事
悉心毕力	草草从事草草了事
悉心竭力	草草从事草草了事
悔之无及	甘之如饴
悔恨交加	问心无愧
悔恶自新	不能自拔
悔罪自新	不能自拔
悔过自忏	不能自拔
悔过自新	执迷不悟
悔过自责	不能自拔
悖情背理	合情合理
悖理违情	不近人情
悖逆不轨	安分守常
悠久	短暂 短促
悠哉游哉	餐风露宿
悠然自得	忧心忡忡 心乱如麻 惶惶不安 心胆俱碎 心惊胆战 气喘吁吁 拍案而起 缩头缩脑 黯然神伤 盲人摸象 提心吊胆 芒刺在背 闷闷不乐 忐忑不安 魂不附体 惴惴不安 战战兢兢 心胆俱裂 痛定思痛 若有所失 失魂落魄
悠然自得	挺身而出
悠闲	焦急 忙碌 匆忙 劳苦 忙活 急忙 忙乱 繁忙 艰辛 性急
悠闲自得	疲于奔命
患得患失	公而忘私 大公无私 宠辱不惊
患得患失	宠辱不惊
患难与共	同床异梦 貌合神离 反目成仇
患难与共	貌合神离
患难之交	泛泛之交
悦耳	难听 刺耳 从邡
悬崖峭壁	坦荡如砥
悲	乐 喜 欢
悲	喜
悲不欲生	哀而不伤
悲不自胜	怒不可遏
悲从中来	大失所望
悲伤	欢跃 喜悦 快乐 欢快 欢乐 欢喜 快活 愉快 欢悦 高兴 开心 欢娱 幸福
悲凉	欢乐 快乐
悲切切	
悲切切	乐颠颠
悲切切	怒冲冲
悲天悯人	大慈大悲
悲恸欲绝	哀而不伤
悲愤填膺	铁石心肠
悲戚	高兴 开心 快乐
悲欢离合	破镜重圆 平淡无奇
悲痛欲绝	抚掌大笑
悲痛欲绝	欣喜若狂
悲痛欲绝	欣喜若狂 惊喜若狂 惊喜交集
悲苦	欢乐 乐趣
悲观	乐观 达观 激昂
悲观厌世	随遇而安
情不自禁	不露声色 无动于衷
情同手足	势如冰炭 煮豆燃萁 势不两立 不共戴天
情同陌路	夫唱妇随
情如兄弟	尺布斗粟
情孚意合	方底圆盖
情意绸缪	冷酷无情
情投意合	势不两立 誓不两立 狼狈为奸 貌合神离 同床异梦 异梦离心 白头如新
情投意合	貌合神离
情投意洽	方底圆盖
情文并茂	词不达意
情景交织	平铺直叙
情景交融	格格不入
情景相生	平铺直叙
情深义厚	无情无义
情深义重	情深潭水
情深似海	薄幸堪惊
情深意重	深恶痛疾
情深潭水	情深义重
情理不容	评头论足
情理之中	不合情理
情若手足	尺布斗粟
情词恳切	肺腑之言
情长纸短	冷酷无情
情随事迁	始终不渝
惆怅	舒畅 舒适 振奋 兴奋
惊天动地	无声无臭
惊弓之鸟	初生之犊
惊弦之鸟	初生之犊
惊心动魄	召梦催眠
惊心动魄	召梦催眠 泰然自若 习以为常 见怪不怪
惊恐	安定 镇定 安详
惊恐万分	不动声色
惊恐万状	不动声色
惊悸	安定 镇定
惊惶	镇静 坦然 镇定
惊惶失措	提心吊胆
惊愕	冷静 镇静 镇定
惊慌	兴奋 镇静 镇定 沉着
惊慌失措	处处泰然 坦然自若 若无其事 满不在乎 不慌不忙 安之若素 神色自若 临危不惧 从容不迫 泰然自若 谈笑自若 处之泰然 成竹在胸 神色自诺 镇定自若 从容自若 稳如泰山
惊慌失措	镇定自若
惊涛骇浪	风止波停
惊醒	昏迷 酣睡 沉醉
惊风骇浪	波光荡漾
惊魂未定	从容不迫
惕	率
惘然有失�	安闲自在
惘然若失	局促不安
惜墨如金	拖泥带水
惜墨若金	操觚率尔
惜指失掌	得失参半
惜玉怜香	喜新厌旧
惜老怜贫	嫌贫爱富
惟妙惟肖	画虎类犬
惠然肯来	拂袖而去
惠风和畅	北风凛冽
惦记	忘怀 淡忘 忘记
惨不忍闻	喜闻乐见
惨无人道	仁至义尽
惨淡经营	无所用心
惨绝人寰	仁至义尽
惨绿少年	窈窕淑女
惨败	优胜 大胜
惨�少恩	从轻发落
惩	奖
惩前毖后	先来后到
惩处	嘉奖 表彰 嘉勉
惩罚	奖励
惩罚	奖励 嘉奖 表扬 处治 奖赏 犒赏 赏赐 表彰
惬意	痛苦 怅望 难过
惭愧	自满 骄傲 得意
惭愧无地	寡廉鲜耻
惯	管
惰	勤
想不通	想得通
想得通	想不通
想念	忘怀 忘却
想方设法	无计可施
想方设法，用尽心机	无所用心
惴惴不安	悠然自得 心安理得
惶恐不安	处之泰然
惶惶不安	提心吊胆
惹事招非	安分守常
惹事生非	息事宁人
惹是生非	胡作非为
惹是非	守规矩
惹灾招祸	安分守常
惹祸招愆	安分守常
惹祸招殃	安分守常
惹草拈花	忠心耿耿
愁	喜
愁云惨雾	阳光普照
愁容	笑容 笑脸 笑意 喜色
愁容满面	愁眉苦脸
愁眉不展	眉飞色舞
愁眉紧锁	春风得意
愁眉苦目	春风得意
愁眉苦眼	春风得意
